,,,NumberofStudents,NumberofStudents,NumberofStudents
,,,min,max,mean
District,SchoolType,BirthYear,,,
Abramów,Gimnazjum,2003,14,14,14.0
Abramów,Gimnazjum,2004,15,15,15.0
Abramów,Gimnazjum,2005,14,14,14.0
Abramów,Szkoła podstawowa,2006,11,19,15.0
Abramów,Szkoła podstawowa,2007,14,23,18.5
Abramów,Szkoła podstawowa,2008,11,19,15.0
Abramów,Szkoła podstawowa,2009,9,15,12.0
Abramów,Szkoła podstawowa,2010,11,18,14.5
Abramów,Szkoła podstawowa,2011,11,19,15.0
Adamów,Gimnazjum,2003,13,13,13.0
Adamów,Gimnazjum,2004,14,14,14.0
Adamów,Gimnazjum,2005,15,15,15.0
Adamów,Szkoła podstawowa,2006,34,44,39.0
Adamów,Szkoła podstawowa,2007,36,46,41.0
Adamów,Szkoła podstawowa,2008,32,41,36.5
Adamów,Szkoła podstawowa,2009,27,34,30.5
Adamów,Szkoła podstawowa,2010,30,39,34.5
Adamów,Szkoła podstawowa,2011,30,39,34.5
Adamówka,Szkoła podstawowa,2006,8,39,23.0
Adamówka,Szkoła podstawowa,2007,8,41,24.333333333333332
Adamówka,Szkoła podstawowa,2008,7,34,20.333333333333332
Adamówka,Szkoła podstawowa,2009,6,32,18.666666666666668
Adamówka,Szkoła podstawowa,2010,8,39,23.0
Adamówka,Szkoła podstawowa,2011,8,41,24.333333333333332
Aleksandrów,Gimnazjum,2003,4,6,5.0
Aleksandrów,Gimnazjum,2004,5,6,5.5
Aleksandrów,Gimnazjum,2005,5,8,6.5
Aleksandrów,Przedszkole,2012,5,12,8.5
Aleksandrów,Przedszkole,2013,5,13,9.0
Aleksandrów,Przedszkole,2014,5,12,8.5
Aleksandrów,Przedszkole,2015,5,13,9.0
Aleksandrów,Szkoła podstawowa,2006,8,22,14.0
Aleksandrów,Szkoła podstawowa,2007,7,22,13.0
Aleksandrów,Szkoła podstawowa,2008,9,22,15.0
Aleksandrów,Szkoła podstawowa,2009,9,22,15.0
Aleksandrów,Szkoła podstawowa,2010,7,20,12.5
Aleksandrów,Szkoła podstawowa,2011,7,17,11.75
Aleksandrów Kujawski,Gimnazjum,2003,10,10,10.0
Aleksandrów Kujawski,Gimnazjum,2004,10,10,10.0
Aleksandrów Kujawski,Gimnazjum,2005,11,11,11.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2000,7,31,19.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2001,8,34,21.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2002,9,38,23.5
Aleksandrów Kujawski,Przedszkole,2012,2,47,15.833333333333334
Aleksandrów Kujawski,Przedszkole,2013,2,47,15.166666666666666
Aleksandrów Kujawski,Przedszkole,2014,2,43,14.5
Aleksandrów Kujawski,Przedszkole,2015,2,47,15.833333333333334
Aleksandrów Kujawski,Szkoła podstawowa,2006,6,48,19.4
Aleksandrów Kujawski,Szkoła podstawowa,2007,6,54,20.8
Aleksandrów Kujawski,Szkoła podstawowa,2008,5,54,19.8
Aleksandrów Kujawski,Szkoła podstawowa,2009,5,42,16.1
Aleksandrów Kujawski,Szkoła podstawowa,2010,5,42,16.1
Aleksandrów Kujawski,Szkoła podstawowa,2011,5,42,16.1
Aleksandrów Łódzki,Liceum ogólnokształcące,2000,18,18,18.0
Aleksandrów Łódzki,Liceum ogólnokształcące,2001,18,18,18.0
Aleksandrów Łódzki,Liceum ogólnokształcące,2002,18,18,18.0
Aleksandrów Łódzki,Przedszkole,2012,7,55,30.5
Aleksandrów Łódzki,Przedszkole,2013,7,53,29.5
Aleksandrów Łódzki,Przedszkole,2014,7,53,29.5
Aleksandrów Łódzki,Przedszkole,2015,7,53,29.5
Aleksandrów Łódzki,Szkoła podstawowa,2006,13,140,71.57142857142857
Aleksandrów Łódzki,Szkoła podstawowa,2007,14,158,80.42857142857143
Aleksandrów Łódzki,Szkoła podstawowa,2008,14,158,80.42857142857143
Aleksandrów Łódzki,Szkoła podstawowa,2009,14,149,76.14285714285714
Aleksandrów Łódzki,Szkoła podstawowa,2010,13,140,71.57142857142857
Aleksandrów Łódzki,Szkoła podstawowa,2011,13,140,71.57142857142857
Alwernia,Przedszkole,2012,11,41,23.333333333333332
Alwernia,Przedszkole,2013,11,41,23.333333333333332
Alwernia,Przedszkole,2014,12,45,25.666666666666668
Alwernia,Przedszkole,2015,14,52,29.666666666666668
Alwernia,Szkoła podstawowa,2006,14,58,27.428571428571427
Alwernia,Szkoła podstawowa,2007,13,55,25.714285714285715
Alwernia,Szkoła podstawowa,2008,12,52,24.142857142857142
Alwernia,Szkoła podstawowa,2009,12,52,24.142857142857142
Alwernia,Szkoła podstawowa,2010,13,55,25.714285714285715
Alwernia,Szkoła podstawowa,2011,12,52,24.142857142857142
Andrespol,Liceum ogólnokształcące,2000,101,101,101.0
Andrespol,Liceum ogólnokształcące,2001,104,104,104.0
Andrespol,Liceum ogólnokształcące,2002,110,110,110.0
Andrespol,Przedszkole,2012,4,51,16.166666666666668
Andrespol,Przedszkole,2013,4,49,15.5
Andrespol,Przedszkole,2014,4,49,15.5
Andrespol,Przedszkole,2015,4,47,14.833333333333334
Andrespol,Szkoła podstawowa,2006,47,136,91.5
Andrespol,Szkoła podstawowa,2007,50,144,97.0
Andrespol,Szkoła podstawowa,2008,47,136,91.5
Andrespol,Szkoła podstawowa,2009,47,136,91.5
Andrespol,Szkoła podstawowa,2010,44,128,86.0
Andrespol,Szkoła podstawowa,2011,44,128,86.0
Andrychów,Liceum ogólnokształcące,2000,152,152,152.0
Andrychów,Liceum ogólnokształcące,2001,147,147,147.0
Andrychów,Liceum ogólnokształcące,2002,147,147,147.0
Andrychów,Przedszkole,2012,9,30,23.5
Andrychów,Przedszkole,2013,9,31,24.375
Andrychów,Przedszkole,2014,9,31,24.375
Andrychów,Przedszkole,2015,9,33,25.375
Andrychów,Szkoła podstawowa,2006,36,132,74.6
Andrychów,Szkoła podstawowa,2007,36,132,74.6
Andrychów,Szkoła podstawowa,2008,36,132,74.6
Andrychów,Szkoła podstawowa,2009,36,132,74.6
Andrychów,Szkoła podstawowa,2010,34,124,70.0
Andrychów,Szkoła podstawowa,2011,32,117,66.0
Andrzejewo,Szkoła podstawowa,2006,11,38,22.0
Andrzejewo,Szkoła podstawowa,2007,11,36,21.0
Andrzejewo,Szkoła podstawowa,2008,11,36,21.0
Andrzejewo,Szkoła podstawowa,2009,11,38,22.0
Andrzejewo,Szkoła podstawowa,2010,12,41,23.666666666666668
Andrzejewo,Szkoła podstawowa,2011,10,34,19.666666666666668
Annopol,Przedszkole,2012,35,35,35.0
Annopol,Przedszkole,2013,34,34,34.0
Annopol,Przedszkole,2014,34,34,34.0
Annopol,Przedszkole,2015,33,33,33.0
Annopol,Szkoła podstawowa,2006,6,64,17.75
Annopol,Szkoła podstawowa,2007,7,67,18.875
Annopol,Szkoła podstawowa,2008,7,67,18.875
Annopol,Szkoła podstawowa,2009,5,53,14.875
Annopol,Szkoła podstawowa,2010,5,53,14.875
Annopol,Szkoła podstawowa,2011,6,56,15.625
Augustów,Liceum ogólnokształcące,2000,37,73,55.0
Augustów,Liceum ogólnokształcące,2001,37,73,55.0
Augustów,Liceum ogólnokształcące,2002,39,75,57.0
Augustów,Przedszkole,2012,5,42,19.083333333333332
Augustów,Przedszkole,2013,6,44,20.333333333333332
Augustów,Przedszkole,2014,6,47,21.25
Augustów,Przedszkole,2015,6,47,21.25
Augustów,Szkoła podstawowa,2006,1,143,28.615384615384617
Augustów,Szkoła podstawowa,2007,1,143,28.615384615384617
Augustów,Szkoła podstawowa,2008,1,143,28.076923076923077
Augustów,Szkoła podstawowa,2009,1,132,26.076923076923077
Augustów,Szkoła podstawowa,2010,1,122,24.76923076923077
Augustów,Szkoła podstawowa,2011,1,122,24.23076923076923
Augustów,Szkoła policealna,1994,4,15,9.5
Augustów,Szkoła policealna,1995,4,15,9.5
Augustów,Szkoła policealna,1996,4,15,9.5
Augustów,Szkoła policealna,1997,3,14,8.5
Augustów,Szkoła policealna,1998,3,14,8.5
Augustów,Szkoła policealna,1999,4,15,9.5
Babiak,Przedszkole,2012,32,32,32.0
Babiak,Przedszkole,2013,27,27,27.0
Babiak,Przedszkole,2014,30,30,30.0
Babiak,Przedszkole,2015,35,35,35.0
Babiak,Szkoła podstawowa,2006,56,56,56.0
Babiak,Szkoła podstawowa,2007,56,56,56.0
Babiak,Szkoła podstawowa,2008,50,50,50.0
Babiak,Szkoła podstawowa,2009,50,50,50.0
Babiak,Szkoła podstawowa,2010,50,50,50.0
Babiak,Szkoła podstawowa,2011,46,46,46.0
Babice,Przedszkole,2012,13,31,22.0
Babice,Przedszkole,2013,12,29,20.5
Babice,Przedszkole,2014,11,26,18.5
Babice,Przedszkole,2015,12,29,20.5
Babice,Szkoła podstawowa,2006,8,35,20.333333333333332
