,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
District,SchoolType,,,
Abramów,Gimnazjum,4.4,4.4,4.4
Abramów,Szkoła podstawowa,3.6842105263157894,6.105263157894737,4.894736842105264
Abramów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Adamów,Gimnazjum,2.8666666666666667,2.8666666666666667,2.8666666666666667
Adamów,Punkt przedszkolny,4.25,4.25,4.25
Adamów,Szkoła podstawowa,6.892857142857143,8.166666666666666,7.529761904761905
Adamów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Adamówka,Punkt przedszkolny,9.0,20.0,14.6
Adamówka,Szkoła podstawowa,5.333333333333333,9.571428571428571,7.523809523809523
Aleksandrów,Gimnazjum,2.8181818181818183,3.1538461538461537,2.986013986013986
Aleksandrów,Przedszkole,9.75,13.555555555555555,11.652777777777779
Aleksandrów,Punkt przedszkolny,14.0,14.0,14.0
Aleksandrów,Szkoła podstawowa,5.529411764705882,8.441176470588236,7.555147058823529
Aleksandrów Kujawski,Gimnazjum,4.666666666666667,4.666666666666667,4.666666666666667
Aleksandrów Kujawski,Liceum ogólnokształcące,5.4,6.0,5.7
Aleksandrów Kujawski,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Aleksandrów Kujawski,Przedszkole,1.0,16.4,9.334920634920636
Aleksandrów Kujawski,Sześcioletnia szkoła muzyczna I stopnia,2.9,2.9,2.9
Aleksandrów Kujawski,Szkoła podstawowa,2.276595744680851,11.339622641509434,5.870832851033823
Aleksandrów Kujawski,Technikum,4.571428571428571,4.571428571428571,4.571428571428571
Aleksandrów Kujawski,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Aleksandrów Łódzki,Liceum ogólnokształcące,4.230769230769231,4.230769230769231,4.230769230769231
Aleksandrów Łódzki,Młodzieżowy dom kultury,0.0,0.0,0.0
Aleksandrów Łódzki,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Aleksandrów Łódzki,Przedszkole,7.416666666666667,16.666666666666668,11.386704545454545
Aleksandrów Łódzki,Szkoła podstawowa,3.9245283018867925,10.510204081632653,8.377789066102272
Aleksandrów Łódzki,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Alwernia,Przedszkole,6.25,12.857142857142858,9.785714285714286
Alwernia,Szkoła podstawowa,4.0,9.027777777777779,6.293083900226757
Andrespol,Liceum ogólnokształcące,7.204545454545454,7.204545454545454,7.204545454545454
Andrespol,Przedszkole,6.166666666666667,10.8,8.686111111111112
Andrespol,Szkoła podstawowa,8.454545454545455,12.903225806451612,10.678885630498534
Andrespol,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Andrychów,Liceum ogólnokształcące,9.73913043478261,9.73913043478261,9.73913043478261
Andrychów,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Andrychów,Ognisko pracy pozaszkolnej,0.0,0.0,0.0
Andrychów,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
Andrychów,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Andrychów,Przedszkole,3.2564102564102564,12.666666666666666,9.058287545787547
Andrychów,Szkoła podstawowa,5.744186046511628,10.027027027027026,7.741417489864524
Andrychów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Andrzejewo,Punkt przedszkolny,14.75,14.75,14.75
Andrzejewo,Szkoła podstawowa,4.0588235294117645,7.354838709677419,5.748998524140839
Annopol,Przedszkole,9.2,9.2,9.2
Annopol,Szkoła podstawowa,2.9473684210526314,7.416666666666667,4.493930959391486
Annopol,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Augustów,Liceum ogólnokształcące,8.78125,145.0,76.890625
Augustów,Młodzieżowy Ośrodek Wychowawczy,1.0416666666666667,2.8,1.66517094017094
Augustów,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty,0.0,0.0,0.0
Augustów,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Augustów,Przedszkole,3.4444444444444446,10.909090909090908,7.441005055220741
Augustów,Punkt przedszkolny,1.4285714285714286,15.0,9.80952380952381
Augustów,Sześcioletnia szkoła muzyczna I stopnia,7.260869565217392,7.260869565217392,7.260869565217392
Augustów,Szkoła podstawowa,3.5714285714285716,10.54639175257732,6.488692532389155
Augustów,Szkoła policealna,4.714285714285714,120.0,62.357142857142854
Augustów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Augustów,Zespół wychowania przedszkolnego,5.5,13.0,8.5
Babiak,Branżowa szkoła I stopnia,3.0,3.0,3.0
Babiak,Przedszkole,10.416666666666666,10.416666666666666,10.416666666666666
Babiak,Szkoła podstawowa,7.634146341463414,7.634146341463414,7.634146341463414
Babiak,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Babice,Przedszkole,5.666666666666667,10.636363636363637,8.151515151515152
Babice,Szkoła podstawowa,3.125,8.96,6.176481481481481
Babice,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Babimost,Młodzieżowy Ośrodek Wychowawczy,1.6756756756756757,1.6756756756756757,1.6756756756756757
Babimost,Przedszkole,15.1,15.1,15.1
Babimost,Szkoła podstawowa,7.785714285714286,7.785714285714286,7.785714285714286
Babimost,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baborów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baboszewo,Przedszkole,16.714285714285715,16.714285714285715,16.714285714285715
Baboszewo,Szkoła podstawowa,4.958333333333333,8.23728813559322,6.198905367231639
Bakałarzewo,Punkt przedszkolny,19.0,19.0,19.0
Bakałarzewo,Szkoła podstawowa,10.838709677419354,10.838709677419354,10.838709677419354
Baligród,Przedszkole,6.333333333333333,6.333333333333333,6.333333333333333
Baligród,Szkolne schronisko młodzieżowe,0.0,0.0,0.0
Baligród,Szkoła podstawowa,5.222222222222222,7.521739130434782,6.4479871175523344
Banie,Przedszkole,9.9,9.9,9.9
Banie,Szkoła podstawowa,4.68,7.769230769230769,6.134592074592074
Banie Mazurskie,Przedszkole,3.8,3.8,3.8
Banie Mazurskie,Szkoła podstawowa,3.0714285714285716,3.0714285714285716,3.0714285714285716
Banie Mazurskie,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baranowo,Przedszkole,10.875,10.875,10.875
Baranowo,Punkt przedszkolny,13.0,13.0,13.0
Baranowo,Szkoła podstawowa,3.2,8.72972972972973,5.651959312253429
Baranowo,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baranów,Szkoła podstawowa,3.9444444444444446,9.16,6.444400793650795
Baranów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baranów Sandomierski,Przedszkole,16.0,16.0,16.0
Baranów Sandomierski,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Barciany,Przedszkole,10.7,10.7,10.7
